"Data","Indice_Vendas"
"janeiro 2000",46.56262
"fevereiro 2000",47.08777
"março 2000",49.10081
"abril 2000",49.10081
"maio 2000",51.11386
"junho 2000",48.66319
"julho 2000",50.41367
"agosto 2000",50.23862
"setembro 2000",49.01329
"outubro 2000",49.97605
"novembro 2000",50.85129
"dezembro 2000",70.10651
"janeiro 2001",47.43786
"fevereiro 2001",44.72463
"março 2001",50.32614
"abril 2001",48.13805
"maio 2001",49.97605
"junho 2001",48.05053
"julho 2001",48.3131
"agosto 2001",49.62596
"setembro 2001",47.61291
"outubro 2001",50.58872
"novembro 2001",49.62596
"dezembro 2001",68.18099
"janeiro 2002",46.91272
"fevereiro 2002",44.02444
"março 2002",50.50119
"abril 2002",47.17529
"maio 2002",50.58872
"junho 2002",47.17529
"julho 2002",49.18834
"agosto 2002",50.76376
"setembro 2002",46.91272
"outubro 2002",50.85129
"novembro 2002",49.62596
"dezembro 2002",64.68004
"janeiro 2003",44.81215
"fevereiro 2003",43.32425
"março 2003",44.72463
"abril 2003",45.42482
"maio 2003",47.43786
"junho 2003",44.46205
"julho 2003",47.00024
"agosto 2003",47.87548
"setembro 2003",45.59986
"outubro 2003",49.36338
"novembro 2003",49.53843
"dezembro 2003",66.78061
"janeiro 2004",47.52539
"fevereiro 2004",45.51234
"março 2004",49.62596
"abril 2004",50.06357
"maio 2004",52.51424
"junho 2004",50.23862
"julho 2004",52.68929
"agosto 2004",51.11386
"setembro 2004",49.801
"outubro 2004",53.477
"novembro 2004",52.60176
"dezembro 2004",74.39517
"janeiro 2005",50.50119
"fevereiro 2005",46.4751
"março 2005",53.477
"abril 2005",51.72652
"maio 2005",53.91462
"junho 2005",52.86433
"julho 2005",55.05243
"agosto 2005",54.61481
"setembro 2005",52.51424
"outubro 2005",55.49004
"novembro 2005",55.22747
"dezembro 2005",78.07117
"janeiro 2006",53.82709
"fevereiro 2006",49.36338
"março 2006",55.05243
"abril 2006",55.57757
"maio 2006",57.94071
"junho 2006",54.9649
"julho 2006",56.27776
"agosto 2006",58.11576
"setembro 2006",57.76566
"outubro 2006",59.34109
"novembro 2006",60.21633
"dezembro 2006",82.53488
"janeiro 2007",58.37833
"fevereiro 2007",53.82709
"março 2007",61.44166
"abril 2007",59.86623
"maio 2007",64.06737
"junho 2007",61.26661
"julho 2007",61.52918
"agosto 2007",64.06737
"setembro 2007",62.49194
"outubro 2007",65.03013
"novembro 2007",66.43051
"dezembro 2007",90.32449
"janeiro 2008",65.20518
"fevereiro 2008",60.74147
"março 2008",68.26851
"abril 2008",65.03013
"maio 2008",71.15679
"junho 2008",66.25546
"julho 2008",68.44356
"agosto 2008",70.36908
"setembro 2008",68.35603
"outubro 2008",71.50689
"novembro 2008",69.84394
"dezembro 2008",93.73792
"janeiro 2009",69.14375
"fevereiro 2009",63.01709
"março 2009",69.14375
"abril 2009",69.66889
"maio 2009",73.16984
"junho 2009",70.01898
"julho 2009",72.55717
"agosto 2009",73.69498
"setembro 2009",71.85698
"outubro 2009",77.63355
"novembro 2009",75.79555
"dezembro 2009",102.40276
"janeiro 2010",76.32069
"fevereiro 2010",70.71917
"março 2010",79.99669
"abril 2010",76.05812
"maio 2010",80.69688
"junho 2010",77.98364
"julho 2010",80.60936
"agosto 2010",81.48459
"setembro 2010",80.43431
"outubro 2010",84.37288
"novembro 2010",83.32259
"dezembro 2010",112.90561
"janeiro 2011",82.6224
"fevereiro 2011",76.75831
"março 2011",83.14754
"abril 2011",83.84773
"maio 2011",85.77326
"junho 2011",83.49764
"julho 2011",86.2984
"agosto 2011",86.64849
"setembro 2011",84.54792
"outubro 2011",87.96135
"novembro 2011",88.92411
"dezembro 2011",120.43265
"janeiro 2012",89.01163
"fevereiro 2012",84.89802
"março 2012",93.56287
"abril 2012",88.83659
"maio 2012",92.77515
"junho 2012",91.28725
